no , text , class
2016002118A , 終了 ボーナス 残り 状態 テーブル 解除 図る 参照 at 場合 st 興趣 ノーマル 遊技 ゲーム 移行 , A63F
2016002121A , 亘る ラウンド c 演出 長時間 制御 開始 大役 閉鎖 基板 煩雑 待機 実行 報知 時間 入賞 特定 遊技 開放 コマンド , A63F
2016002125A , 興趣 演出 発光 多様 実現 光 当該 状態 向ける 色彩 装飾 形状 照射 容易 高める なる 絵柄 キャラクタ 遊技 認識 , A63F
2016002126A , 表示 終了 演出 複数 継続 遊技 実行 理解 変動 明確 識別 区切り 特定 停止 示す 後 報知 態様 情報 変化 , A63F
2016002127A , 表示 先読み 演出 遊技 否 情報 実行 理解 変動 明確 事前 識別 区切り 特定 判定 結果 取得 態様 記憶 当否 , A63F
2016002128A , コンベア 貸出 要求 誘導 不正 媒体 制御 行為 達す 中継 対策 補給 講じる u 信号 当該 無効 遊技 基板 売上 , A63F
2016002129A , 先読み 同時 変動 時 時間 保留 スリル 当否 カウントダウン 豊か 時点 判定 残り 特 対象 伴う 大当り 遊技 記憶 図柄 , A63F
2016002134A , 流 下流 流入 要する 前面 事態 前後 起こる 確率 削ぐ 高い 広い 進入 モータ 入賞 所望 規制 遊技 リブ 空間 , A63F
2016002141A , 表示 一連 液晶 演出 メイン ストーリー 情報 はずれ 変動 現出 事前 有利 実行 判定 小当り 場合 リーチ 大当り 遊技 パターン , A63F
2016002142A , 表示 一連 液晶 低下 演出 メイン ストーリー 抑制 実行 変動 過度 小当り 事前 完結 興趣 リーチ 期待 大当り 遊技 はずれ , A63F
2016002143A , 表示 一連 リーチ 斬新 ストーリー 乱数 中断 はずれ 変動 課す 事前 抑止 直後 実行 判定 遵守 完結 制約 遊技 最後 , A63F
2016002144A , 抑止 予告 期待 低下 演出 ストーリー 実行 多い 度合い 悪化 詳しい 有利 特典 入賞 始動 打ち込む 感情 大当り 遊技 特定 , A63F
2016002145A , 図る 変換 要求 付与 異なる 媒体 失効 管理 種別 権利 特典 受ける 促進 受け付ける ユーザ 遊技 前記 受付 , A63F
2016002146A , 表示 制限 特殊 演出 青色 可変 アップ 短縮 保留 視認 変化 予告 実行 通常 妨げる 丸 態様 赤色 特定 図柄 , A63F
2016002147A , 表示 予告 特殊 演出 青色 可変 アップ 期間 短縮 保留 変化 制限 実行 通常 妨げる 識別 丸 態様 赤色 特定 , A63F
2016002148A , 表示 制限 特殊 演出 青色 可変 アップ 短縮 保留 視認 変化 予告 実行 通常 妨げる 異なる 丸 態様 赤色 特定 , A63F
2016002149A , 電子 個別 媒体 情報 側面 関連付ける 係る 図る システム サービス 多様 1つ プログラム 取得 ユーザ 遊技 コンピュータ 属性 , A63F
2016002150A , 他 電子 関連 1つ 情報 側面 媒体 循環 関連付ける 係る 複数 システム 効果 プログラム 取得 ユーザ 遊技 ゲーム コンピュータ 属性 , A63F
2016002151A , c 楽しむ 不自然 上辺 感じる 孔 自然 ピン 下前 右側 取付ける 装飾 ユニット 裏 軸 昇降 付近 遊技 旋回 ベース , A63F
2016002153A , メダル 写る 表す 分布 最大 中心 エッジ モデル 検出 識別 角度 画素 判定 領域 一致 対象 所定 模様 画像 補正 , A63F
2016002154A , タイミング 演出 定める 達する タイム 背景 なる 期間 カット プッシュ 変化 回数 実行 バー 操作 連打 ボタン 許容 遊技 イン , A63F
2016002155A , タイミング 演出 定める 達する 回数 背景 画像 期間 カット プッシュ 変化 タイム バー 経る 操作 連打 ボタン 許容 遊技 イン , A63F
2016002156A , 表示 動画 作成 負担 少ない 結果 高まる 静止 期間 映像 軽減 図る 特定 領域 種類 比べる 興趣 キャラクタ 態様 遊技 , A63F
2016002157A , 表示 長い 動画 作成 負担 結果 高まる 静止 期間 映像 軽減 少ない 特定 領域 種類 興趣 キャラクタ 態様 遊技 コスト , A63F
2016002158A , 表示 終了 以外 遊技 可変 期間 フラグ 記憶 保留 その後 上限 ボタン プロセス 特別 残り パチンコ 演出 大当り 全て カウント , A63F
2016002159A , 表示 大当り 演出 白色 期間 全て 確率 保留 プッシュ 押下 上限 ボタン 特別 場合 とき 丸 変化 遊技 記憶 カウント , A63F
2016002160A , 表示 演出 可変 期間 よる 特別 全て 保留 その後 プッシュ 変化 上限 ボタン 実行 カウント パチンコ 丸 遊技 記憶 作用 , A63F
2016002161A , 基づく 動作 打席 簡略 決定 単位 傾向 野球 配 球 前記 コース 投手 パラメータ 進行 操作 キャラクタ 実現 ゲーム 投球 , A63F
2016002165A , 表示 状況 vb 損なう 多様 画面 設定 機能 難易 関連付ける 変わる 領域 入力 所定 操作 仮想 意図 ゲーム コンピュータ ユーザ , A63F
2016002168A , 本来 発生 リプレイ 対応付ける 止める ボーナス 確率 リール 揃い 状態 当選 停止 フリーズ 通常 擬似 態様 遊技 回転 同様 スイカ , A63F
2016002169A , 本来 発生 リプレイ 組合せ 確率 図柄 新た リール ボーナス 当選 停止 設定 フリーズ 通常 擬似 態様 遊技 回転 同様 状態 , A63F
2016002174A , 表示 メダル 不利益 貯留 媒体 max 実行 判別 利益 投入 ベット 停止 場合 列 枚数 無効 操作 クレジット 遊技 特定 , A63F
2016002179A , 表示 分かる 演出 可変 関連 遊技 各々 保留 結果 識別 有利 とき 実行 情報 共通 対応 態様 記憶 特定 易い , A63F
2016002185A , 枢 上辺 トグルクランプ 装備 部材 リンク ピン クランプ 導入 組み 構成 保持 支 スプリング 下辺 連結 遊技 夫 左端 ベース , A63F
2016002186A , a 枠 コネクタ 両者 盤 付設 整列 盤面 装着 組み 可能 ユニット 取り付け 接続 方向 保持 直交 遊技 連動 案内 , A63F
2016002187A , 電源 pw 回路 電力 マイコン マシン スタート 降下 スイッチ 接続 基板 電圧 公平 射幸 lo レベル 遊技 監視 煽る スロット , A63F
2016002191A , 乱数 終了 演出 回数 記憶 実行 変動 新しい 抽選 内容 導出 特定 報知 判定 時間 所定 入賞 態様 遊技 開放 , A63F
2016002202A , 興趣 期待 演出 変動 当該 応じる 実行 優先 デモ とき 所定 報知 擬似 特定 パターン , A63F
2016002203A , 演出 否 並行 応じる 実行 報知 決定 テーマ 所定 興趣 大当り 遊技 特別 パターン , A63F
2016002209A , 制御 確 読む 電動 on 情報 開閉 ソレノイド 口内 入り口 普通 入賞 rom 動体 不足 具体 だす 記憶 まとめる パターン , A63F
2016002212A , 制御 払出し メイン 媒体 スタート 盛り上げる 検出 基板 付す 停止 胴 レバー 操作 投入 抽せん 回転 図柄 遊技 前記 回 , A63F
2016002213A , 制御 レバー メイン 媒体 盛り上げる スタート 指示 操作 基板 付す 停止 胴 図柄 受け付け 投入 抽せん 払出し 遊技 前記 回 , A63F
2016002217A , 表示 制御 演出 種別 増加 開始 残り 示唆 変動 抽選 識別 パチンコ 実行 場合 時間 所定 成立 係る 当たり 情報 , A63F
2016002220A , 表示 液晶 演出 メイン 保留 白黒 消化 占有 モノクロ 事前 予告 出現 抑止 領域 背景 突入 大当り 遊技 基板 コマンド , A63F
2016002221A , 表示 関わる 演出 際立つ 白黒 遊技 実行 カラー モノクロ 結果 予告 見逃す 出現 抑止 事前 背景 突入 消化 画像 基板 , A63F
2016002222A , 表示 周辺 液晶 演出 メイン 保留 消化 一部 モノクロ 新た 事前 把握 予告 出現 抑止 領域 認識 遊技 基板 コマンド , A63F
2016002223A , 表示 液晶 演出 メイン 白黒 抑止 消化 占有 モノクロ 事前 予告 出現 実行 領域 場合 突入 大当り 遊技 基板 コマンド , A63F
2016002224A , 表示 液晶 突入 メイン 異なる 白黒 抑止 背景 カラー モノクロ 出現 予告 明確 印象 画像 演出 消化 遊技 認識 モード , A63F
2016002225A , 抑える 通路 結ぶ 重心 延長線 媒体 発射 対向 一部 接触 ばらつき 転 接点 他 延長 点 動 遊技 湾曲 案内 , A63F
2016002227A , 最終 行う 演出 失敗 制御 示唆 特別 成功 結果 後 積極 ボタン 段階 判定 受け付ける 進行 操作 シナリオ 遊技 移行 , A63F
2016002228A , 最終 行う 演出 失敗 制御 示唆 特別 成功 結果 後 積極 ボタン 段階 判定 受け付ける 進行 操作 シナリオ 遊技 移行 , A63F
2016002229A , 最終 行う タイミング 演出 失敗 制御 示唆 条件 特別 成功 積極 ボタン 段階 成立 進行 操作 シナリオ 遊技 受け付ける 移行 , A63F
2016002230A , 最終 行う 演出 失敗 制御 示唆 特別 成功 結果 後 積極 ボタン 段階 判定 受け付ける 進行 操作 シナリオ 遊技 移行 , A63F
2016002231A , 最終 行う 演出 失敗 制御 示唆 特別 成功 結果 後 積極 ボタン 段階 判定 受け付ける 進行 操作 シナリオ 遊技 移行 , A63F
2016002232A , 最終 行う タイミング 演出 失敗 制御 示唆 特別 成功 後 積極 ボタン 段階 判定 受け付ける 進行 操作 シナリオ 遊技 移行 , A63F
2016002233A , 最終 行う 演出 失敗 制御 示唆 特別 成功 結果 後 積極 ボタン 段階 判定 受け付ける 進行 操作 シナリオ 遊技 移行 , A63F
2016002234A , 最終 行う タイミング 演出 失敗 制御 示唆 特別 成功 後 積極 ボタン 段階 判定 受け付ける 進行 操作 シナリオ 遊技 移行 , A63F
2016002235A , 最終 行う 演出 失敗 制御 示唆 特別 成功 結果 後 積極 ボタン 段階 判定 受け付ける 進行 操作 シナリオ 遊技 移行 , A63F
2016002236A , 最終 行う タイミング 演出 失敗 制御 示唆 特別 成功 後 積極 ボタン 段階 判定 受け付ける 進行 操作 シナリオ 遊技 移行 , A63F
2016002240A , 所定 電源 場合 否 回数 断 投入 把握 リセット 店 マシン タイミング 遊技 前記 カウント スロット , A63F
2016002247A , 介する 簡素 構造 led 発光 サイド 光 入射 部材 カバー 発する 導 スリット 光る 該 外側 覆う 内側 突出 遊技 , A63F
2016002252A , 表示 演出 可変 否 開始 前 データ 保留 結果 識別 s 特定 内容 判定 決定 とき 条件 成立 情報 記憶 , A63F
2016002253A , 次 演出 示唆 特別 進める 現在 可能 段階 実行 進行 興趣 期待 遊技 特定 , A63F
2016002254A , 次 有利 演出 場合 示唆 特別 進める 現在 可能 段階 実行 進行 興趣 遊技 特定 , A63F
2016002255A , 次 演出 示唆 特別 進める 結果 基づく 現在 可能 段階 判定 事前 実行 進行 興趣 遊技 特定 図柄 , A63F
2016002256A , 次 行う 演出 示唆 特別 進める 結果 現在 可能 段階 報知 実行 進行 興趣 期待 遊技 特定 , A63F
2016002257A , 次 行う 演出 場合 示唆 特別 進める 結果 現在 可能 段階 報知 有利 実行 進行 興趣 遊技 特定 , A63F
2016002258A , 次 行う 演出 示唆 特別 進める 結果 基づく 現在 可能 段階 報知 事前 実行 興趣 進行 判定 遊技 特定 図柄 , A63F
2016002259A , 表示 強い リーチ 始動 順 画像 示唆 演出 高い 態様 装飾 停止 示す 強 成立 発展 期待 パターン 遊技 図柄 , A63F
2016002260A , 表示 興趣 成立 特殊 リーチ 順 大当たり 示唆 演出 態様 装飾 停止 示す 始動 画像 発展 期待 パターン 遊技 図柄 , A63F
2016002261A , 表示 ゾーン 強い 演出 成立 順 画像 示唆 保留 当該 装飾 停止 示す 強 大当たり 発展 期待 パターン 遊技 図柄 , A63F
2016002262A , 表示 行う 紹介 装置 演出 メイン 特別 サブ 変動 液晶 結果 基づく 終了 可能 実行 判定 入力 キャラクタ 遊技 図柄 , A63F
2016002265A , 以降 低下 演出 メイン 否 cpu 制限 場合 実行 胴 決定 興趣 遊技 ゲーム 予約 回 , A63F
2016002283A , 要素 趣向 表現 面 以上 全体 部材 複数 配 下部 2つ 装飾 上部 構成 なる 演出 可動 遊技 センタ 1つ , A63F
2016002284A , 表示 要素 趣向 演出 複数 部材 状態 配 視認 下部 困難 可能 装飾 上部 構成 表現 可動 形成 遊技 センタ , A63F
2016002285A , 趣向 要素 下部 演出 面 異なる 複数 近傍 部材 位置 配 装飾 上部 構成 表現 可動 設 遊技 センタ , A63F
2016002286A , 動作 趣向 演出 複数 部材 下部 視認 右側 主面 パネル 装飾 上部 構成 表現 困難 左側 可動 遊技 センタ 要素 , A63F
2016002287A , 位置 要素 趣向 演出 異なる 複数 部材 下部 右側 パネル 装飾 上部 構成 表現 とき 左側 可動 ある 遊技 センタ , A63F
2016002288A , led 発光 中心 複数 提示 盤面 残像 映像 保つ 配列 発生 効果 平行 演出 回転 遊技 , A63F
2016002289A , 技 配置 led 発光 不可能 前面 提示 盤面 平行 残像 映像 視認 配列 基板 消灯 回路 中心 回転 遊技 発生 , A63F
2016002290A , 表示 液晶 装置 led 発光 提示 残像 映像 直線 配列 発生 内容 両側 左右 演出 回転 以外 遊技 可動 連動 , A63F
2016002291A , 行う 表示 趣向 演出 複数 部材 下部 配 視認 2つ 困難 装飾 上部 構成 表現 可動 形成 遊技 センタ 状態 , A63F
2016002292A , 表示 液晶 作動 led 発光 保つ 提示 盤面 態 残像 映像 視認 困難 配列 装置 とき 演出 回転 態様 遊技 , A63F
2016002293A , 表示 なす 演出 程度 複数 画像 示唆 変動 停止 予告 段階 次段 実行 進行 その後 趣向 アップ 遊技 当否 ステップ , A63F
2016002294A , 表示 演出 程度 複数 画像 示唆 変動 当否 予告 y 段階 次段 実行 進行 その後 趣向 アップ 遊技 組み合わせ ステップ , A63F
2016002295A , art 上乗せ 演出 不正 否 多い 遊技 異常 v 監視 入賞 判定 とき 役 流入 以外 行為 ゲーム 精度 レベル , A63F
2016002296A , 送信 他 携帯 端末 コード 管理 情報 撮像 目的 基づく 更新 発生 データベース マシン ほか 履歴 サーバ 遊技 スロット , A63F
2016002297A , 表示 店員 携帯 端末 コード 不正 管理 情報 基づく 更新 可能 発生 構成 データベース マシン ほか 履歴 サーバ 遊技 スロット , A63F
2016002300A , 制御 付与 上乗せ 演出 メイン 開始 カウンタ サブ 値 伴う 基板 特典 移行 ベット 胴 at モード 回 遊技 次回 , A63F
2016002303A , 表示 行う 成立 演出 制御 記憶 変動 新た 契機 興趣 係わる 判定 始動 画像 所定 操作 順序 遊技 特別 図柄 , A63F
2016002304A , 表示 文字 液晶 装置 演出 発光 制御 遊技 表現 盤上 新た 行う 係わる 列 興趣 役 図形 近傍 画像 組み合わせる , A63F
2016002305A , 表示 制御 特殊 演出 メイン 遊技 実行 サブ インパクト 変更 変化 特定 履歴 画像 装置 図柄 , A63F
2016002306A , 表示 獲得 演出 メイン 多い パチログアイコン 示唆 特別 インパクト 少ない 態様 実行 実質 画像 伴う 入賞 出 遊技 開 図柄 , A63F
2016002307A , 表示 行う b 演出 実現 期間 制御 遊技 変動 新た 興趣 係わる 高める 画像 所定 操作 順序 記憶 図柄 , A63F
2016002308A , 表示 制御 遊 演出 決める 遊技 旋律 画像 音声 変動 係わる 選出 行う 出力 操作 順番 順序 記憶 前記 図柄 , A63F
2016002309A , 以前 表示 演出 開始 当該 示唆 変化 特定 実行 興趣 態様 , A63F
2016002310A , 表示 演出 経過 低い 実行 確率 特別 変化 開始 特定 報知 場合 タイミング 興趣 態様 遊技 前記 , A63F
2016002311A , 抑止 もつ 楽しむ 参加 押す 当該 変動 為 様々 ボタン 興趣 実行 前 限る 伴う 演出 態様 遊技 バリエーション 変化 , A63F
2016002312A , 抑止 もつ 態様 参加 限る 押す 変動 実行 保留 為 様々 予告 ボタン 楽しむ 表示 当該 演出 変化 遊技 バリエーション , A63F
2016002313A , 表示 蓄積 演出 始動 惹く 興味 示唆 特別 基づく 中 実行 判定 構成 決定 当該 伴う 履歴 成立 遊技 新規 , A63F
2016002314A , 表示 制御 演出 惹く 軌跡 興味 示唆 複数 変動 タイミング 装飾 軌道 所定 図形 態様 遊技 新規 図柄 , A63F
2016002315A , 行う 演出 否 外部 情報 出力 特別 識別 進行 実行 報知 内容 始動 取得 読み込む 判定 伴う 成立 遊技 新規 , A63F
2016002316A , 行う 演出 外部 情報 内容 出力 特別 識別 進行 実行 判定 肯定 始動 取得 読み込む 成立 伴う 大当り 遊技 新規 , A63F
2016002317A , 行う 否 外部 情報 出力 特別 結果 識別 条件 実行 判定 肯定 始動 取得 読み込む 成立 遊技 新規 , A63F
2016002318A , 表示 行う 演出 コード 期間 否 遊技 条件 特別 基づく 判定 始動 取得 成立 情報 新規 , A63F
2016002319A , 表示 低下 演出 アイコン 保留 事前 変化 予告 実行 報知 効果 抑える 態様 , A63F
2016002320A , 表示 低下 演出 アイコン 保留 事前 変化 予告 実行 報知 効果 抑える 態様 , A63F
2016002321A , 表示 行う 低下 演出 否 開始 示唆 保留 予告 導出 該 判定 効果 抑える 先立つ , A63F
2016002322A , 表示 過程 握手 変動 変化 予告 ン アイコ 興趣 態様 遊技 , A63F
2016002323A , 表示 前兆 演出 遊技 アイコン 保留 握手 該 変動 契機 変化 予告 ン 実行 アイコ 対象 キャラク 態様 保 易い , A63F
2016002324A , 表示 前兆 演出 遊技 アイコン 保留 握手 該 変動 出現 契機 変化 予告 ン 実行 アイコ 対象 台詞 態様 保 , A63F
2016002325A , 行う 実績 始動 惹く 制御 記憶 否 特別 基づく 更新 実行 判定 条件 表示 興味 伴う 成立 遊技 新規 設定 , A63F
2016002326A , 表示 実績 終了 付与 惹く 制御 記憶 更新 新規 実行 興味 操作 受付 遊技 ゲーム 得点 設定 , A63F
2016002327A , 表示 成立 報知 演出 惹く 興味 とき 特別 通常 結果 新規 実行 判定 始動 操作 モード 受付 遊技 ゲーム 設定 , A63F
2016002328A , 成立 演出 惹く 回数 興味 特別 結果 新規 上限 継続 実行 報知 判定 始動 操作 モード 受付 遊技 ゲーム 設定 , A63F
2016002329A , 応じる 付与 演出 惹く 遊技 特別 変更 結果 新規 実行 興味 進行 操作 態様 後続 ゲーム 受付 , A63F
2016002330A , 行う 成立 演出 始動 惹く 否 興味 条件 特別 結果 実行 報知 場合 当該 判定 大当り 遊技 新規 モード 設定 , A63F
2016002331A , 表示 行う 始動 惹く 複数 記憶 否 特別 興味 判定 条件 種類 図形 伴う 履歴 成立 遊技 新規 , A63F
2016002332A , 行う 表示 惹く データ 傾向 画像 特別 基づく 新規 否 中 判定 示す 始動 興味 伴う 履歴 成立 遊技 記憶 , A63F
2016002333A , 状態 演出 奇数 開始 遊技 示唆 確率 入賞 マシン 使用 普 装飾 胴 確定 条件 特 成立 テーブルセット 代表 弾 , A63F
2016002334A , スロット 代表 演出 確定 奇数 示唆 確率 入賞 マシン 普 装飾 胴 場合 条件 特 成立 ある 遊技 状態 弾 , A63F
2016002335A , 表示 状態 演出 確定 奇数 いう 確率 入賞 後 普 開始 装飾 場合 条件 特 成立 弾 遊技 代表 図柄 , A63F
2016002339A , スピーカー 保護 不正 i h 電界 アンプ マシン dc 回路 q 電波 チャンネル 検知 電圧 信号 出力 誤動作 レベル スロット , A63F
2016002343A , 簡素 存在 対応付ける 演出 同一 異なる 実行 オフセット 負担 必要 種別 軽減 依存 図る 特定 決定 削減 テーブル 記憶 前記 , A63F
2016002348A , 別 従属 移動 遊技 部材 接触 設ける 可能 変位 本体 他 所定 規制 範囲 前記 , A63F
2016002357A , 下端 通路 突出 左 挟み込む 減速 リブ 区画 打込む 受入 右 入賞 領域 近い アタッカ 流通 遊技 センター 後端 若干 , A63F
2016002359A , 球 通路 切り替える 当り 切替 復帰 状態 断 通過 向ける 復 更 特定 領域 図柄 不能 わる 送出 遊技 3つ , A63F
2016002364A , 阻害 滞留 球 短縮 無駄 発射 後続 流下 打ち出す 消化 減少 閉鎖 当り 入賞 先行 不能 遊技 開閉 開放 障害 , A63F
2016002375A , 切り替える 中心 切替 演出 モータ ユニット 効果 方向 操作 回転 縦横 , A63F
2016002376A , マグネット 切り替える ソレノイド 切替 距離 演出 支持 一体 ユニット 効果 磁力 プレート 操作 回転 縦横 作用 , A63F
2016002377A , 送信 制御 変換 遊技 基礎 通信 演算 基づく 指示 更新 生成 配列 特定 種類 所定 成立 好適 情報 ビット 相違 , A63F
2016002378A , 表示 属す 商標 装置 遊技 受信 きめ細かい 待ち受ける 送信 通信 識別 ブルートゥース 該 情報処理 エリア 施設 情報 前記 コンピュータ プログラム , A63F
2016002385A , オブジェクト 表示 対応付ける 対応 数字 分ける 体験 夫 タッチパネル プレイヤ 目標 分離 付す 判定 プログラム 操作 対象 際 検知 ゲーム , A63F
2016002389A , メダル ドライバ 放電 静電気 ショットキーバリアダイオード バイパス 経路 払出し モーター 駆動 l 切替える インダクタ ショット 保護 接続 ic マシン キーバリアダイオード スロット , A63F
2016002396A , 表示 演出 防ぐ もとづく 異なる 複数 他 保留 事前 制限 高める 通常 単調 種類 興趣 所定 判定 態様 なす , A63F
2016002397A , 表示 演出 防ぐ もとづく 異なる 他 保留 事前 制限 高める 通常 単調 種類 興趣 所定 判定 態様 遊技 なす , A63F
2016002398A , 表示 興趣 防ぐ もとづく 異なる 他 保留 事前 制限 条件 高める 通常 単調 種類 成立 所定 判定 演出 態様 なす , A63F
2016002399A , 表示 防ぐ 異なる 可変 情報 保留 もとづく 識別 制限 事前 高める 通常 単調 種類 興趣 所定 判定 態様 記憶 なす , A63F
2016002400A , 表示 判定 演出 なす 異なる 比べる 割合 実行 保留 もとづく 事前 制限 特定 通常 単調 対象 防ぐ 対応 態様 記憶 , A63F
2016002407A , 表示 透過 兼ねる モード 遮断 反射 光 光源 複数 盤面 全部 意匠 厚み 出現 画素 入射 臨む 導 前記 板 , A63F
2016002411A , 表示 以降 特殊 維持 採用 保留 期間 創り出す 係る 起算 概念 合計 個数 更 斬新 定数 特 演出 遊技 特定 , A63F
2016002412A , 文字 取付ける 境 楽しむ 演出 切 左 後端 夫 打込む 出現 裏 パネル 装飾 ユニット 切出す 可動 辺 遊技 接する , A63F
2016002413A , 行う メンバ 参加 入力 来る 依頼 編成 通信 プレイ マッチング グループ プレーヤ 処理 入室 ルーム システム 所属 ゲーム キーワード 端末 , A63F
2016002417A , a スロット 場合 経過 進行 フリーズ 期間 マシン 新た 単調 停止 t 設定 操作 所定 受け付ける 遅延 遊技 成立 続ける , A63F
2016002418A , a 制御 演出 持つ 経過 マシン 期間 新た 軽減 所定 間 実行 停止 t 操作 タイミング 受け付ける スロット 遊技 単調 , A63F
2016002422A , 滞留 球 止 誘導 ソレノイド 制御 位置 特別 通過 開放 励磁 堰 s 入賞 時点 センサ 閉鎖 遊技 検知 状態 , A63F
2016002423A , 滞留 球 止 誘導 ソレノイド 制御 部材 状態 特別 通過 閉鎖 励磁 堰 入賞 位置 センサ 検知 遊技 開放 最小限 , A63F
2016002424A , 表示 特殊 演出 異なる もとづく 応じる 示唆 保留 結果 変化 予告 うち 実行 通常 種類 判定 態様 記憶 特定 ある , A63F
2016002425A , 表示 対応 特殊 演出 異なる もとづく 特別 該 保留 結果 変化 予告 実行 通常 種類 判定 態様 記憶 特定 ある , A63F
2016002426A , 表示 特殊 演出 異なる もとづく 示唆 保留 結果 変化 予告 可能 実行 判定 種類 成立 期待 態様 記憶 特定 ある , A63F
2016002434A , 想定 乱数 エリア b 動作 チャネル 初期 使用 起動 プログラム 回路 工場 出荷 全て 管理 生じる 設定 , A63F
2016002442A , 副次的 印刷 間 副次 カード 払い出し 実行 プリンター ゲーム プログラム , A63F
2016002454A , 亘る ラウンド c 演出 長時間 制御 開始 大役 閉鎖 基板 煩雑 待機 実行 報知 時間 入賞 特定 遊技 開放 コマンド , A63F
2016002462A , 連結 プロキシサーバ 単一 専用 構築 グローバル 環境 システム サービス 1つ 他 サーバ 拠点 国 ゲーム ユーザ , A63F
2016002469A , 表示 なす 演出 程度 複数 画像 示唆 変動 停止 予告 段階 次段 実行 進行 その後 趣向 アップ 遊技 当否 ステップ , A63F
2016002470A , 表示 演出 程度 複数 画像 示唆 変動 当否 予告 y 段階 次段 実行 進行 その後 趣向 アップ 遊技 組み合わせ ステップ , A63F
2016002472A , 次 演出 示唆 特別 進める 現在 可能 段階 実行 進行 興趣 期待 遊技 特定 , A63F
2016002473A , 次 演出 示唆 特別 進める 現在 可能 段階 実行 進行 興趣 期待 遊技 特定 , A63F
2016002474A , 次 有利 演出 場合 示唆 特別 進める 現在 可能 段階 実行 進行 興趣 遊技 特定 , A63F
2016002475A , 次 有利 演出 場合 示唆 特別 進める 現在 可能 段階 実行 進行 興趣 遊技 特定 , A63F
2016002476A , 次 演出 示唆 特別 進める 結果 基づく 現在 可能 段階 判定 事前 実行 進行 興趣 遊技 特定 図柄 , A63F
2016002477A , 次 演出 示唆 特別 進める 結果 基づく 現在 可能 段階 判定 事前 実行 進行 興趣 遊技 特定 図柄 , A63F
2016002478A , 次 行う 演出 示唆 特別 進める 結果 現在 可能 段階 報知 実行 進行 興趣 期待 遊技 特定 , A63F
2016002479A , 次 行う 演出 示唆 特別 進める 結果 現在 可能 段階 報知 実行 進行 興趣 期待 遊技 特定 , A63F
2016002480A , 次 行う 演出 場合 示唆 特別 進める 結果 現在 可能 段階 報知 有利 実行 進行 興趣 遊技 特定 , A63F
2016002481A , 次 行う 演出 場合 示唆 特別 進める 結果 現在 可能 段階 報知 有利 実行 進行 興趣 遊技 特定 , A63F
2016002482A , 次 行う 演出 示唆 特別 進める 結果 基づく 現在 可能 段階 報知 事前 実行 興趣 進行 判定 遊技 特定 図柄 , A63F
2016002483A , 次 行う 演出 示唆 特別 進める 結果 基づく 現在 可能 段階 報知 事前 実行 興趣 進行 判定 遊技 特定 図柄 , A63F
2016002484A , 表示 もつ 代表 封入 回 複数 遊技 更新 生成 パチンコ 含む 胴 種類 マシン 進行 操作 スロット 情報 アクセス 弾 , A63F
2016002485A , 表示 当選 付与 組合せ 複数 開始 夫 抽選 基づく 特典 付す 停止 なか 役 操作 回転 賞 選び出す 前記 図柄 , A63F
2016002486A , 増やす ロック 受け付ける 状態 データ 開始 音声 継続 先駆ける ゲーム 有利 すべて 通常 出力 操作 期待 出 遊技 前記 移行 , A63F
2016002487A , 制御 ループ フェードイン 単位 一連 遊技 興趣 期間 bgm 亘る 継続 チャンネル 減退 効果 完結 出力 演出 再生 フェードアウト ゲーム , A63F
2016002488A , 所定 終了 違和感 要する 経過 枚数 出力 入賞 減少 伴う 開始 ウエイト 関わる 音量 時間 一定 払 フェードアウト 前記 , A63F
2016004278A , 印刷 情報 能力 抽出 前記 利用 代替 合致 処理 情報処理 基準 測定 特徴 定める , G06F
2016004280A , tsvcom tpic ドライバ 駆動 電極 並 exvcom 在 物体 検出 パルス ddi 検知 近接 信号 延 タッチ 同期 前記 タッチドライバ , G06F
2016004281A , 表示 コモン 込む 読取る 上記 tx 電極 検出 書込み rx センサ パネル 時 センシング 信号 書 読取り 一方 定数 駆動 , G06F
2016004288A , 表示 時間 項目 対応 確定 情報 タッチパネル 意図 実行 位置 検出 演算 継続 対象 示す 処理 履歴 操作 デバイス 記憶 , G06F
2016004291A , テキスト 属する 付与 形態素 重み付け 興味 履歴 カテゴリ 抽出 単語 放送 出力 番組 視聴 重み 対応 情報 順位 カウント キーワード , G06F
2016004292A , 表示 制御 対応付ける 端末 関係 撮像 占める 投影 指定 座標 算出 領域 重畳 受け付ける 基準 識別 情報 前記 適切 空間 , G06F
2016004297A , 分類 要因 事象 上記 定義 複数 各々 定義付ける 変換 収集 分散 ログ サーバ 特徴 , G06F
2016004303A , 表示 確率 投稿 装置 重要 受信 データ タイム 位置 望ましい コンテンツ 新着 閲覧 示す 留まる 端末 サーバ ユーザ e 属性 , G06F
2016004305A , タスク 遅れる 定義 十分 開始 待つ 実行 完了 スケジューリング システム 特定 ファイル 処理 考慮 ジョブ ジョブフロー バージョンアップ バッチ メンテナンス 時刻 , G06F
2016004306A , 管理 クエリ データ 実行 最適 組み合わせ 用途 抽出 現実 特定 内容 リクエスト データベース 取得 条件 クライアント ある 多数 前記 多様 , G06F
2016004307A , 利便 web 損なう 端末 付く クライアント api 上限 認可 ユーザー 仕組み 呼出す 利用 サービス 識別子 回数 アプリケーション 集計 開発 呼出し , G06F
2016004308A , 制御 変換 電源 上記 電力 区別 異常 検出 生成 迅速 構成 受ける 供給 プログラム 回路 , G06F
